"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C02172V02618","Taxation Class","C03396V04087","Colour","UNIT","VALUE"
"TEA26","New and Secondhand Vehicles","2010","2010","011","New Private Cars","-","All colours","Number","84907"
"TEA26","New and Secondhand Vehicles","2010","2010","011","New Private Cars","01","Black","Number","20655"
"TEA26","New and Secondhand Vehicles","2010","2010","011","New Private Cars","02","Grey","Number","14660"
"TEA26","New and Secondhand Vehicles","2010","2010","011","New Private Cars","03","White","Number","1932"
"TEA26","New and Secondhand Vehicles","2010","2010","011","New Private Cars","04","Beige","Number","1027"
"TEA26","New and Secondhand Vehicles","2010","2010","011","New Private Cars","05","Brown","Number","949"
"TEA26","New and Secondhand Vehicles","2010","2010","011","New Private Cars","06","Orange","Number","117"
"TEA26","New and Secondhand Vehicles","2010","2010","011","New Private Cars","07","Yellow","Number","255"
"TEA26","New and Secondhand Vehicles","2010","2010","011","New Private Cars","08","Green","Number","539"
"TEA26","New and Secondhand Vehicles","2010","2010","011","New Private Cars","09","Blue","Number","10816"
"TEA26","New and Secondhand Vehicles","2010","2010","011","New Private Cars","10","Purple","Number","211"
"TEA26","New and Secondhand Vehicles","2010","2010","011","New Private Cars","11","Pink","Number","14"
"TEA26","New and Secondhand Vehicles","2010","2010","011","New Private Cars","12","Red","Number","9008"
"TEA26","New and Secondhand Vehicles","2010","2010","011","New Private Cars","13","Bronze","Number","132"
"TEA26","New and Secondhand Vehicles","2010","2010","011","New Private Cars","14","Gold","Number","4090"
"TEA26","New and Secondhand Vehicles","2010","2010","011","New Private Cars","15","Silver","Number","20501"
"TEA26","New and Secondhand Vehicles","2010","2010","011","New Private Cars","16","Navy","Number","1"
"TEA26","New and Secondhand Vehicles","2010","2010","011","New Private Cars","17","Multi-coloured","Number","0"
"TEA26","New and Secondhand Vehicles","2010","2010","011","New Private Cars","18","Other","Number","0"
"TEA26","New and Secondhand Vehicles","2010","2010","012","New Goods Vehicles","-","All colours","Number","10510"
"TEA26","New and Secondhand Vehicles","2010","2010","012","New Goods Vehicles","01","Black","Number","1169"
"TEA26","New and Secondhand Vehicles","2010","2010","012","New Goods Vehicles","02","Grey","Number","495"
"TEA26","New and Secondhand Vehicles","2010","2010","012","New Goods Vehicles","03","White","Number","4375"
"TEA26","New and Secondhand Vehicles","2010","2010","012","New Goods Vehicles","04","Beige","Number","58"
"TEA26","New and Secondhand Vehicles","2010","2010","012","New Goods Vehicles","05","Brown","Number","22"
"TEA26","New and Secondhand Vehicles","2010","2010","012","New Goods Vehicles","06","Orange","Number","10"
"TEA26","New and Secondhand Vehicles","2010","2010","012","New Goods Vehicles","07","Yellow","Number","130"
"TEA26","New and Secondhand Vehicles","2010","2010","012","New Goods Vehicles","08","Green","Number","853"
"TEA26","New and Secondhand Vehicles","2010","2010","012","New Goods Vehicles","09","Blue","Number","958"
"TEA26","New and Secondhand Vehicles","2010","2010","012","New Goods Vehicles","10","Purple","Number","23"
"TEA26","New and Secondhand Vehicles","2010","2010","012","New Goods Vehicles","11","Pink","Number","0"
"TEA26","New and Secondhand Vehicles","2010","2010","012","New Goods Vehicles","12","Red","Number","968"
"TEA26","New and Secondhand Vehicles","2010","2010","012","New Goods Vehicles","13","Bronze","Number","7"
"TEA26","New and Secondhand Vehicles","2010","2010","012","New Goods Vehicles","14","Gold","Number","65"
"TEA26","New and Secondhand Vehicles","2010","2010","012","New Goods Vehicles","15","Silver","Number","1369"
"TEA26","New and Secondhand Vehicles","2010","2010","012","New Goods Vehicles","16","Navy","Number","0"
"TEA26","New and Secondhand Vehicles","2010","2010","012","New Goods Vehicles","17","Multi-coloured","Number","8"
"TEA26","New and Secondhand Vehicles","2010","2010","012","New Goods Vehicles","18","Other","Number","0"
"TEA26","New and Secondhand Vehicles","2010","2010","013","New Tractors","-","All colours","Number","1359"
"TEA26","New and Secondhand Vehicles","2010","2010","013","New Tractors","01","Black","Number","16"
"TEA26","New and Secondhand Vehicles","2010","2010","013","New Tractors","02","Grey","Number","0"
"TEA26","New and Secondhand Vehicles","2010","2010","013","New Tractors","03","White","Number","0"
"TEA26","New and Secondhand Vehicles","2010","2010","013","New Tractors","04","Beige","Number","1"
"TEA26","New and Secondhand Vehicles","2010","2010","013","New Tractors","05","Brown","Number","4"
"TEA26","New and Secondhand Vehicles","2010","2010","013","New Tractors","06","Orange","Number","32"
"TEA26","New and Secondhand Vehicles","2010","2010","013","New Tractors","07","Yellow","Number","26"
"TEA26","New and Secondhand Vehicles","2010","2010","013","New Tractors","08","Green","Number","427"
"TEA26","New and Secondhand Vehicles","2010","2010","013","New Tractors","09","Blue","Number","286"
"TEA26","New and Secondhand Vehicles","2010","2010","013","New Tractors","10","Purple","Number","0"
"TEA26","New and Secondhand Vehicles","2010","2010","013","New Tractors","11","Pink","Number","0"
"TEA26","New and Secondhand Vehicles","2010","2010","013","New Tractors","12","Red","Number","546"
"TEA26","New and Secondhand Vehicles","2010","2010","013","New Tractors","13","Bronze","Number","0"
"TEA26","New and Secondhand Vehicles","2010","2010","013","New Tractors","14","Gold","Number","0"
"TEA26","New and Secondhand Vehicles","2010","2010","013","New Tractors","15","Silver","Number","14"
"TEA26","New and Secondhand Vehicles","2010","2010","013","New Tractors","16","Navy","Number","0"
"TEA26","New and Secondhand Vehicles","2010","2010","013","New Tractors","17","Multi-coloured","Number","7"
"TEA26","New and Secondhand Vehicles","2010","2010","013","New Tractors","18","Other","Number","0"
"TEA26","New and Secondhand Vehicles","2010","2010","014","New Motor Cycles","-","All colours","Number","1321"
"TEA26","New and Secondhand Vehicles","2010","2010","014","New Motor Cycles","01","Black","Number","432"
"TEA26","New and Secondhand Vehicles","2010","2010","014","New Motor Cycles","02","Grey","Number","89"
"TEA26","New and Secondhand Vehicles","2010","2010","014","New Motor Cycles","03","White","Number","84"
"TEA26","New and Secondhand Vehicles","2010","2010","014","New Motor Cycles","04","Beige","Number","6"
"TEA26","New and Secondhand Vehicles","2010","2010","014","New Motor Cycles","05","Brown","Number","5"
"TEA26","New and Secondhand Vehicles","2010","2010","014","New Motor Cycles","06","Orange","Number","29"
"TEA26","New and Secondhand Vehicles","2010","2010","014","New Motor Cycles","07","Yellow","Number","33"
"TEA26","New and Secondhand Vehicles","2010","2010","014","New Motor Cycles","08","Green","Number","42"
"TEA26","New and Secondhand Vehicles","2010","2010","014","New Motor Cycles","09","Blue","Number","177"
"TEA26","New and Secondhand Vehicles","2010","2010","014","New Motor Cycles","10","Purple","Number","9"
"TEA26","New and Secondhand Vehicles","2010","2010","014","New Motor Cycles","11","Pink","Number","0"
"TEA26","New and Secondhand Vehicles","2010","2010","014","New Motor Cycles","12","Red","Number","202"
"TEA26","New and Secondhand Vehicles","2010","2010","014","New Motor Cycles","13","Bronze","Number","1"
"TEA26","New and Secondhand Vehicles","2010","2010","014","New Motor Cycles","14","Gold","Number","4"
"TEA26","New and Secondhand Vehicles","2010","2010","014","New Motor Cycles","15","Silver","Number","185"
"TEA26","New and Secondhand Vehicles","2010","2010","014","New Motor Cycles","16","Navy","Number","0"
"TEA26","New and Secondhand Vehicles","2010","2010","014","New Motor Cycles","17","Multi-coloured","Number","23"
"TEA26","New and Secondhand Vehicles","2010","2010","014","New Motor Cycles","18","Other","Number","0"
"TEA26","New and Secondhand Vehicles","2010","2010","01606","New Other Vehicles","-","All colours","Number","4979"
"TEA26","New and Secondhand Vehicles","2010","2010","01606","New Other Vehicles","01","Black","Number","935"
"TEA26","New and Secondhand Vehicles","2010","2010","01606","New Other Vehicles","02","Grey","Number","719"
"TEA26","New and Secondhand Vehicles","2010","2010","01606","New Other Vehicles","03","White","Number","414"
"TEA26","New and Secondhand Vehicles","2010","2010","01606","New Other Vehicles","04","Beige","Number","57"
"TEA26","New and Secondhand Vehicles","2010","2010","01606","New Other Vehicles","05","Brown","Number","78"
"TEA26","New and Secondhand Vehicles","2010","2010","01606","New Other Vehicles","06","Orange","Number","13"
"TEA26","New and Secondhand Vehicles","2010","2010","01606","New Other Vehicles","07","Yellow","Number","182"
"TEA26","New and Secondhand Vehicles","2010","2010","01606","New Other Vehicles","08","Green","Number","59"
"TEA26","New and Secondhand Vehicles","2010","2010","01606","New Other Vehicles","09","Blue","Number","566"
"TEA26","New and Secondhand Vehicles","2010","2010","01606","New Other Vehicles","10","Purple","Number","20"
"TEA26","New and Secondhand Vehicles","2010","2010","01606","New Other Vehicles","11","Pink","Number","0"
"TEA26","New and Secondhand Vehicles","2010","2010","01606","New Other Vehicles","12","Red","Number","522"
"TEA26","New and Secondhand Vehicles","2010","2010","01606","New Other Vehicles","13","Bronze","Number","12"
"TEA26","New and Secondhand Vehicles","2010","2010","01606","New Other Vehicles","14","Gold","Number","185"
"TEA26","New and Secondhand Vehicles","2010","2010","01606","New Other Vehicles","15","Silver","Number","1208"
"TEA26","New and Secondhand Vehicles","2010","2010","01606","New Other Vehicles","16","Navy","Number","0"
"TEA26","New and Secondhand Vehicles","2010","2010","01606","New Other Vehicles","17","Multi-coloured","Number","9"
"TEA26","New and Secondhand Vehicles","2010","2010","01606","New Other Vehicles","18","Other","Number","0"
"TEA26","New and Secondhand Vehicles","2010","2010","021","Secondhand Private Cars","-","All colours","Number","39103"
"TEA26","New and Secondhand Vehicles","2010","2010","021","Secondhand Private Cars","01","Black","Number","8955"
