,STATION ID,NAME,BIKE_STANDS,AVAILABLE_BIKE_STANDS,AVAILABLE_BIKES,LATITUDE,LONGITUDE,datetime_rounded,rain,temp,rhum,hour,day_of_week,is_weekend,station_id_encoded,avg_1h,avg_3h,change_in_bikes
0,1,CLARENDON ROW,31,8,23,53.3409,-6.2625,2024-01-01 00:00:00,0.0,6.1,84,0,0,False,0,23.0,23.0,
114,1,CLARENDON ROW,31,8,23,53.3409,-6.2625,2024-01-01 01:00:00,0.0,5.4,86,1,0,False,0,23.0,23.0,0.0
228,1,CLARENDON ROW,31,8,23,53.3409,-6.2625,2024-01-01 02:00:00,0.0,5.1,83,2,0,False,0,23.0,23.0,0.0
342,1,CLARENDON ROW,31,8,23,53.3409,-6.2625,2024-01-01 03:00:00,0.0,5.0,82,3,0,False,0,23.0,23.0,0.0
456,1,CLARENDON ROW,31,8,23,53.3409,-6.2625,2024-01-01 04:00:00,0.0,4.9,84,4,0,False,0,23.0,23.0,0.0
570,1,CLARENDON ROW,31,8,23,53.3409,-6.2625,2024-01-01 05:00:00,0.0,4.7,79,5,0,False,0,23.0,23.0,0.0
684,1,CLARENDON ROW,31,7,24,53.3409,-6.2625,2024-01-01 06:00:00,0.0,4.4,81,6,0,False,0,23.5,23.166666666666668,1.0
798,1,CLARENDON ROW,31,7,24,53.3409,-6.2625,2024-01-01 07:00:00,0.0,4.6,83,7,0,False,0,24.0,23.333333333333332,0.0
912,1,CLARENDON ROW,31,7,24,53.3409,-6.2625,2024-01-01 08:00:00,0.0,4.0,83,8,0,False,0,24.0,23.5,0.0
1026,1,CLARENDON ROW,31,5,26,53.3409,-6.2625,2024-01-01 09:00:00,0.0,3.2,85,9,0,False,0,25.0,24.0,2.0
1140,1,CLARENDON ROW,31,5,26,53.3409,-6.2625,2024-01-01 10:00:00,0.0,3.4,87,10,0,False,0,26.0,24.5,0.0
1254,1,CLARENDON ROW,31,4,27,53.3409,-6.2625,2024-01-01 11:00:00,0.0,5.2,83,11,0,False,0,26.5,25.166666666666668,1.0
1368,1,CLARENDON ROW,31,2,29,53.3409,-6.2625,2024-01-01 12:00:00,0.0,6.2,77,12,0,False,0,28.0,26.0,2.0
1482,1,CLARENDON ROW,31,2,29,53.3409,-6.2625,2024-01-01 13:00:00,0.6,6.2,85,13,0,False,0,29.0,26.833333333333332,0.0
1596,1,CLARENDON ROW,31,1,30,53.3409,-6.2625,2024-01-01 14:00:00,0.2,6.6,87,14,0,False,0,29.5,27.833333333333332,1.0
1710,1,CLARENDON ROW,31,3,28,53.3409,-6.2625,2024-01-01 15:00:00,0.0,7.0,93,15,0,False,0,29.0,28.166666666666668,-2.0
1824,1,CLARENDON ROW,31,5,26,53.3409,-6.2625,2024-01-01 16:00:00,0.3,8.2,95,16,0,False,0,27.0,28.166666666666668,-2.0
1938,1,CLARENDON ROW,31,7,24,53.3409,-6.2625,2024-01-01 17:00:00,1.9,8.6,95,17,0,False,0,25.0,27.666666666666668,-2.0
2052,1,CLARENDON ROW,31,9,22,53.3409,-6.2625,2024-01-01 18:00:00,2.8,9.0,95,18,0,False,0,23.0,26.5,-2.0
2166,1,CLARENDON ROW,31,10,21,53.3409,-6.2625,2024-01-01 19:00:00,1.2,9.2,95,19,0,False,0,21.5,25.166666666666668,-1.0
2280,1,CLARENDON ROW,31,10,21,53.3409,-6.2625,2024-01-01 20:00:00,0.0,10.8,90,20,0,False,0,21.0,23.666666666666668,0.0
2394,1,CLARENDON ROW,31,11,20,53.3409,-6.2625,2024-01-01 21:00:00,0.0,10.8,83,21,0,False,0,20.5,22.333333333333332,-1.0
2508,1,CLARENDON ROW,31,11,20,53.3409,-6.2625,2024-01-01 22:00:00,0.0,10.7,82,22,0,False,0,20.0,21.333333333333332,0.0
2622,1,CLARENDON ROW,31,10,21,53.3409,-6.2625,2024-01-01 23:00:00,0.0,10.6,84,23,0,False,0,20.5,20.833333333333332,1.0
2736,1,CLARENDON ROW,31,10,21,53.3409,-6.2625,2024-01-02 00:00:00,0.0,10.4,83,0,1,False,0,21.0,20.666666666666668,0.0
2850,1,CLARENDON ROW,31,10,21,53.3409,-6.2625,2024-01-02 01:00:00,0.6,9.7,91,1,1,False,0,21.0,20.666666666666668,0.0
2964,1,CLARENDON ROW,31,10,21,53.3409,-6.2625,2024-01-02 02:00:00,0.0,9.6,87,2,1,False,0,21.0,20.666666666666668,0.0
3078,1,CLARENDON ROW,31,10,21,53.3409,-6.2625,2024-01-02 03:00:00,0.0,8.9,87,3,1,False,0,21.0,20.833333333333332,0.0
3192,1,CLARENDON ROW,31,10,21,53.3409,-6.2625,2024-01-02 04:00:00,0.0,9.3,86,4,1,False,0,21.0,21.0,0.0
3306,1,CLARENDON ROW,31,10,21,53.3409,-6.2625,2024-01-02 05:00:00,0.0,9.4,85,5,1,False,0,21.0,21.0,0.0
3420,1,CLARENDON ROW,31,26,5,53.3409,-6.2625,2024-01-02 06:00:00,0.0,9.6,85,6,1,False,0,13.0,18.333333333333332,-16.0
3534,1,CLARENDON ROW,31,22,9,53.3409,-6.2625,2024-01-02 07:00:00,0.0,9.5,87,7,1,False,0,7.0,16.333333333333332,4.0
